               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.034539,            0.038756,                   0,             0.79953,             0.91579,             0.91663,             0.50773,            0.035887,            0.042503,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.036995,            0.043354,                   0,             0.92282,             0.91579,             0.96319,             0.54275,            0.038479,            0.042896,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.038607,            0.042547,                   0,             0.86947,             0.91152,             0.95285,             0.54459,            0.037835,            0.042797,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.038048,            0.039385,                   0,             0.93502,             0.90878,             0.96499,             0.51641,            0.037765,            0.042587,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.037849,            0.039856,                   0,             0.90617,             0.90526,             0.95805,              0.5272,            0.040812,             0.04295,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.03901,            0.040444,                   0,             0.92958,             0.89474,             0.95822,             0.50365,            0.040534,            0.042938,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.037814,            0.040698,                   0,             0.93471,             0.92632,             0.96402,             0.50502,            0.039382,             0.04319,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.038939,              0.0412,                   0,             0.92636,             0.92698,             0.96811,             0.54732,            0.034159,            0.042042,                   0,            0.004159,            0.004159,            0.004159
                  61,              0.0343,            0.040213,                   0,             0.90579,             0.91094,             0.95575,             0.53334,            0.036972,            0.044159,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.03588,            0.039731,                   0,             0.93682,             0.90526,              0.9619,             0.54134,            0.035845,            0.043396,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.036632,            0.041166,                   0,             0.94821,             0.91579,             0.96218,             0.56138,            0.034345,            0.042301,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.03538,            0.037968,                   0,             0.93391,             0.91579,             0.96159,             0.52378,            0.037845,            0.042583,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.036767,            0.037581,                   0,             0.95585,              0.9117,             0.96564,             0.54233,            0.039126,            0.043221,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.037416,            0.038973,                   0,             0.94641,             0.89474,             0.96277,             0.54624,             0.03986,            0.042992,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.034873,            0.038749,                   0,             0.96545,             0.88232,             0.96556,             0.52642,            0.036687,            0.042885,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.03387,            0.037914,                   0,             0.89659,             0.91264,             0.96577,             0.56086,            0.033245,            0.042324,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.03291,            0.038663,                   0,             0.98141,             0.85263,             0.95898,              0.5428,            0.035896,            0.042641,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.033172,            0.044199,                   0,             0.96576,             0.89072,             0.96838,             0.51496,            0.036692,            0.043442,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.033975,            0.037542,                   0,              0.9054,             0.90677,             0.96199,             0.56113,            0.034885,            0.042839,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.032745,            0.039734,                   0,             0.90583,             0.91134,             0.95925,             0.55342,            0.033181,            0.042191,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.032184,            0.038296,                   0,             0.92144,             0.90526,             0.95979,              0.5583,            0.034573,            0.042931,                   0,            0.002872,            0.002872,            0.002872
